,name,city,GD_Name,GD_Med,GD_Act,GD_City,GD_kvk_ref,GD_other_in_list
48,Seabourne Logistics NL Eindhoven,Eindhoven,                    Seabourne Leigh B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2013                        ,                                Inactief sinds                                 2015                            ,                                'S-GRAVENHAGE                            ,"['Seabourne Leigh B.V.', 'Seabourne Transport B.V.', 'Seabourne Express Couriers B.V.', 'SEA Bouwservice', 'S.E.A Bouw en Onderhoud', 'Seabound', 'Seaborough IP V B.V.', 'Seaborough IP I B.V.', 'S.E.A. bouw Haarlem', 'Seaborough IP IV B.V.', 'Seaborough IP II B.V.', 'Seaborough IP VI B.V.', 'Seaborough IP III B.V.', 'SeaBottom WhiskyClub', 'S.E.A BOUW EN ONDERHOUD', 'SEA BD', 'SEA B.V.', 'Seaborough IP Holding B.V.', 'SeaBoc B.V.', 'Seabofix', 'Seaborn B.V.', 'Seaboat B.V.', 'SeaBol Technical Solutions', 'Sea-Boom B.V.', 'Sea Bonsai B.V.', 'SeaBlue B.V.', 'Seaborough B.V.', 'Seabrex (KVP) B.V.', 'Seaborg Invest B.V.', 'Seaborch Beheer B.V.', 'Hal Services B.V.', 'Seaborough IP VII B.V.', 'Seaborough Research B.V.', 'SeaBlue Cadzand B.V.', 'SeaBreeze mindstyle', 'Seabiscuit', 'Sea B.V.', 'Sea B.V.', 'Sea B.V.', 'Seabury Coöperatie U.A.', 'Seaborough Life Science B.V.', 'Seaborg Consulting and Training', 'Seabox Shipping, Forwarding & Trading B.V.', 'Seabury MRO Solutions B.V.', 'Seabell', 'Seabird', 'Seabell', 'Seabed Geosolutions (NL) B.V.', 'SeaBlue', 'Seable & Co B.V.']"
49,Efficient Logistics,Best,                    Efficient Logistics                ,8  werknemers,                            Actief sinds                             1998                        ,                                BEST                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Efficient Logistics']
50,010 Logistics,Rotterdam,                    010 Logistics                ,1  werknemers,                            Actief sinds                             2014                        ,                                ROTTERDAM                            ,5221 - Dienstverlening voor vervoer over land                            ,"['010 Logistics', 'Rapido Logistics 010', 'HighQ Logistics', 'Doijer & Kalff B.V.', 'Daroni Group B.V.']"
51,TDS-Logistics BV,Nijmegen,                    TDS Logistics B.V.                ,5  werknemers,                            Actief sinds                             2014                        ,                                NIJMEGEN                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['TDS Logistics B.V.', 'TDS B.V.', 'TDS B.V.', 'TDST B.V.', 'TDS Trading B.V.', 'TDSL Nederland B.V.', 'TDS Engineering B.V.', 'TDS Finance B.V.', 'TDSD B.V.', 'TDSgroup B.V.', 'TDS Beheer B.V.', 'TDS Trading B.V.', 'La TDS Holding B.V.', 'TDS Trading B.V.', 'TDS Trading B.V.', 'TDS Trading B.V.', 'TDS Logistiek B.V.', 'TDS Holding B.V.', 'TDS Trading B.V.', 'TDS Trading B.V.', 'TDSL Software Services B.V.', 'Technical Diagnostic Services TDS B.V.', 'TDS3 Holding B.V.', 'TDS Mail Holding I B.V.', 'TDS Mail Holding III B.V.', 'TDS Mail Holding II B.V.', 'LB-Logistics B.V.', 'VN Logistics B.V.', 'BK Logistics B.V.', 'TDS Oost-Nederland B.V.', 'TDS Management B.V.', 'HE Logistics B.V.', 'JM Logistics B.V.', 'STL Logistics B.V.', 'CTR Logistics B.V.', 'TLS Logistics B.V.', 'TSC Logistics B.V.', 'DJK Logistics B.V.', 'TDS Twentse Deuren Specialist B.V.', 'ECW Logistics B.V.', 'KAH Logistics B.V.', 'LAP Logistics B.V.', 'MMR Logistics B.V.', 'KDS Logistics B.V.', 'RAFA Logistics B.V.', 'ELS-Logistics B.V.', 'tele Logistics B.V.', 'HAVI Logistics B.V.', 'VF-Logistics B.V.', 'IB-Logistics B.V.']"
52,A. den Hartog Transport Langerak BV,Hoek,                    A. den Hartog Transport Langerak B.V.                ,62  werknemers,                            Actief sinds                             1984                        ,                                LANGERAK ZH                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['A. den Hartog Transport Langerak B.V.']
53,Jan De Rijk Retail,Waddinxveen,                    Jan de Rijk Retail B.V.                ,42  werknemers,                            Actief sinds                             1919                        ,                                Inactief sinds                                 2022                            ,                                ROOSENDAAL                            ,"['Jan de Rijk Retail B.V.', 'Jan de Rijk Retail B.V.', 'Jan de Rijk Retail B.V.']"
54,Vos Logistics België,Belgium,                    Vos Logistics Bulk Specialities B.V.                ,75  werknemers,                            Actief sinds                             1950                        ,                                WOERDEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Vos Logistics Bulk Specialities B.V.', 'Vos Logistics Bulk Equipment B.V.', 'Vos Logistics High Volume B.V.', 'Vos Logistics Solutions B.V.', 'Vos Logistics Cargo Equipment B.V.', 'Vos Logistics B.V.', 'Vos Logistics Beheer B.V.', 'Vos Logistics N.V.', 'Vos Logistics Ede B.V.', 'Vos Logistics Oss B.V.', 'Vos Logistics Helmond B.V.', 'Vos Logistics Moerdijk B.V.', 'Vos Logistics Kerkrade B.V.', 'Vos Logistics Services B.V.', 'Vos Logistics International B.V.', 'Vos Logistics Home Delivery B.V.', 'Vos Logistics Technical Department B.V.', 'Vos Logistics Roosendaal B.V.', 'Vos Logistics Trailerpool B.V.', 'Vos Logistiek Consultancy', 'Vos Nat. en Int. Transporten V.O.F.', 'Vos&Len', 'Vos Licht en Geluid', 'Vosly', 'Vosler', 'Vos. Loodgietersbedrijf', 'Vos L en P en Vos-Venema T H', 'Voslau', 'Vosline', 'Voslin B.V.', 'Vosline B.V.', 'Vos Lambers C.V.', 'Vos Lifestyle', 'Vos Limburg B.V.', 'Vos-Lambooij B.V.', 'Vos Las & Montage', 'Vos Lastechniek', 'Vos Legal', 'Vos Lelystad Beheer B.V.', 'Voslanber Productions', 'VOS B.V.', 'VOSIM', 'Vos Letselschade & Advies', 'Vos Landmeten & Maatvoeren', 'VOS-AN', 'VoSeY', 'vos71', 'VOS-IT', 'VosTo', 'VOSZEN']"
55,Fatrans Logistics B.V.,Venlo,                    Fatrans Logistics B.V.                ,12  werknemers,                            Actief sinds                             1985                        ,                                VENLO                            ,"52109 - Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)                            ",['Fatrans Logistics B.V.']
56,Imperial Logistics,Son,                    IMPERIAL Logistics B.V.                ,23  werknemers,                            Actief sinds                             1994                        ,                                VONDELINGENPLAAT RT                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['IMPERIAL Logistics B.V.', 'Imperial Logistics International B.V.', 'Imperial Chemical Logistics B.V.', 'Imperial Chemical Logistics B.V.', 'Imperial Chemical Logistics B.V.']"
57,Müller Fresh Food Logistics,Rotterdam,                    Müller Fresh Food Logistics B.V.                ,260  werknemers,                            Actief sinds                             1979                        ,                                HOLTEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Müller Fresh Food Logistics B.V.', 'Müller Fresh Food Logistics B.V.', 'Müller Fresh Food Logistics B.V.', 'Müller Fresh Food Logistics B.V.']"
58,Decathlon Distributiecentrum,Tilburg,                    Decathlon Benelux N.V.                ,38  werknemers,                            Actief sinds                             2003                        ,                                KERKRADE                            ,47643 - Winkels in sportartikelen (geen watersport)                            ,"['Decathlon Benelux N.V.', 'Decathlon Netherlands B.V.', 'de catersaar', 'De Catharinahoeve CV', 'De Catharina Boating', 'Decate', ""De Caty's"", 'DeCa', 'Deca Tech', 'Decatel B.V.', 'De Catalpa', 'Decat', 'Decates, specialist ouderengeneeskunde B.V.', 'De Catro B.V.', 'De Catharinahoeve Beheer B.V.', 'Deca Trade B.V.', 'Deca Trade', 'Decateraar', 'De Cateraar', 'DE CAMER', 'Decatern B.V.', 'De Caterking', 'De Catharina Koetsier Stichting', 'De Catalanen', 'Deca Trading', 'Deca Trading', '""De Camera""', 'Deca Trading', 'Decals.nl', 'DECAPAINT', 'De Catalogi B.V.', 'DE’CARE4YOU', 'DECASEG B.V.', 'DeCalorie', 'De Caterkoning', 'de-Carneool', 'De cateringman', 'Guitars and Beans', 'De Cater Fabriek', 'DeCade 97 B.V.', 'Decates Teksten', 'De Cauwer v.o.f.', 'de Carpenter', 'De Cantine HCS', 'dec.amsterdam', 'De CAD Factory', 'decals4all.eu', 'Decates Medical B.V.', 'DECAM Holding B.V.', 'Decates Interim Tax']"
59,P & M Express BV,Tilburg,                    P&M Expresse B.V.                ,17  werknemers,                            Actief sinds                             1990                        ,                                TILBURG                            ,53202 - Koeriers                            ,"['P&M Expresse B.V.', 'PM Expansion', 'PM Expansion', 'PM Expansion B.V.', 'P-mex', 'PMENC', ""PM'er"", 'PMedia', 'PME ICT B.V.', 'PM&EA B.V.', 'PM Elektra', 'PMetaal B.V.', 'PM & E Bureau B.V.', 'PMEducatie', 'PM Electric', 'PM Electronics', 'P&M Engineering', 'PME Consulting', 'P. Meering APB B.V.', 'PME Holding B.V.', 'PM Energie B.V.', 'Parc Merwede B.V.', 'PM & E consultancy', 'PME Vastgoed B.V.', 'PME Management', 'PM.E', 'PM Entertainment', 'PMEE', 'P. MEIJER HOLDING B.V.', 'PME Management B.V.', 'PM Ehlert Beheer B.V.', 'PM Entertainment', 'PM EMEA Holding 2 B.V.', 'PM EMEA Holding 1 B.V.', 'PMEC', 'P. Meijer Bad en Tegel', 'PMEB', 'P.M.E.U.', 'PME Tech Solutions', 'PM EMEA Holding 4 B.V.', 'PM EMEA Holding 3 B.V.', 'P MED B.V.', 'PMeerland Beheer B.V.', 'PME Schilderwerken', 'PM-EHBO', 'P. Melis', 'PMeyes', 'P. Meyer', 'P-Media', 'BearCare']"
60,Chain Logistics BV,Uden,                    Chain Logistics B.V.                ,36  werknemers,                            Actief sinds                             2000                        ,                                UDEN                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Chain Logistics B.V.', 'Fresh Chain Logistics B.V.', 'Supply Chain Logistics B.V.', 'VCK Logistics Supply Chain Solutions B.V.', 'Customs Chain B.V.', 'Just Good People Logistics & Supply Chain B.V.', 'DHL Supply Chain (Netherlands) B.V.', 'Chain Assembly B.V.', 'DHL Supply Chain Management B.V.', 'Mega-Inliner Supply Chain Services B.V.', 'BBL Black Box Logistics B.V.', 'GXO LOGISTICS NETHERLANDS B.V.', 'GXO LOGISTICS NETHERLANDS II B.V.', 'Omega Logistics B.V.', 'GXO LOGISTICS NETHERLANDS III B.V.', 'GXO Logistics Holding Russia B.V.', 'MPT Logistics (Holding) B.V.', 'MaCo Logistics B.V.', 'Staay Export B.V.', 'Staay Food Group B.V.', 'Rob Jansen Uden B.V.', 'VCK Logistics Supply Chain Solutions B.V.', 'VCK Logistics Supply Chain Solutions B.V.', 'GXO LOGISTICS NETHERLANDS B.V.', 'GXO LOGISTICS NETHERLANDS II B.V.']"
61,Lucas Logistics B.V.,Raamsdonksveer,                    Lucas Logistics B.V.                ,30  werknemers,                            Actief sinds                             1980                        ,                                RAAMSDONKSVEER                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Lucas Logistics B.V.', 'Lucas Logistics Specials B.V.', 'Lucas Logistics Expeditions B.V.', 'Lucas Logistics Autotransport B.V.']"
62,Barsan Group,Tilburg,                    Barsan Group B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2013                        ,                                TILBURG                            ,70102 - Holdings (geen financiële)                            ,['Barsan Group B.V.']
63,Eurostars Logistics | Koeriersdiensten,Eindhoven,                    Eurostars Logistics                ,1  werknemers,                            Actief sinds                             2014                        ,                                Inactief sinds                                 2016                            ,                                BREUKELEN UT                            ,"['Eurostars Logistics', 'Eurostars Logistics', 'EURO START FLEX B.V.', 'Eurostart Holding B.V.', 'Eurostar', 'Eurostar C.V.', 'Eurostar Security', 'Eurostar Services', 'Eurostar B.V.', 'Eurostar V.O.F.', 'Eurostar B.V.', 'Eurostar Shipping V.O.F.', 'Eurostar 25 B.V.', 'Eurostar Achel', 'EuroStaffingPartners B.V.', 'Eurostar Speelautomaten', 'EuroStins N.V.', 'Eurostar Trading', 'Eurostar Trading', 'Eurostar Reclame', 'Eurostar Holland', 'Eurostar schoonmaakbedrijf', 'EuroStal Montagetechniek B.V.', 'EuroStar Kozijnen', 'Eurostar Holland V.O.F.', 'EuroSteiger B.V.', 'Eurostar Logistics', 'Eurostate', 'Eurostar Fireworks', 'Euro-Star Fashion Ltd.', 'Eurostar Fireworks B.V.', 'Euro Stuc Limburg', 'Euro Stans B.V.', 'Euro Staal B.V.', 'EuroStates CV', 'Euro Staff B.V.', 'Euro Start Eindhoven B.V.', 'EuroStar Investment B.V.', 'Euro Start Franchise B.V.', 'Euro-Star Reitmoden GmbH', 'Euroster Cleaning v.o.f.', 'Euro Start Klussenbedrijf', 'Eurostar Dienstverlening', 'Eurostar Dienstverlening V.O.F.', 'Eurostar International B.V.', 'Eurostar Eetcafé Restaurant', 'Eurostar Global Electronics B.V.', 'Eurostar United International Travel', 'Euro Staalbouw B.V.', 'EUROSLA']"
64,van Nunen Transport & Logistiek bv,Geldrop,                    Van Nunen Transport en Logistiek Geldrop B.V.                ,45  werknemers,                            Actief sinds                             2004                        ,                                GELDROP                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Van Nunen Transport en Logistiek Geldrop B.V.', 'Van Nunen C&R', 'van Nunen Telemarketing', 'van Nunen Bouwexpertise', 'van Nunen schilder- en onderhoudswerken', 'Van Nunen ICT', 'Van Nunen B.V.', 'van Nunen Koel-Vries-Sneltransporten', 'van Nunen Effective Solutions', 'van Nunen Administratie en Advies', 'van Nunen V.O.F.', 'van Nunen Tuinonderhoud', 'Van Nunen-Bosch B.V.', 'van Nunen elektro', 'Van Nunen Tube Cleaning Tools B.V.', 'Van Nunen Techniek B.V.', 'van Nunen Catering', 'Van Nunen Beheer B.V.', 'Van Nunen & Partners B.V.', 'Van Nunen Holding B.V.', 'Van Nunen Holding B.V.', 'Van Nunen en Zonen B.V.', 'Van Nunen Holding B.V.', 'van Nunen Holding B.V.', 'Van Nunen Holding B.V.', 'Van Nunen In & Verkoop', 'Van Nunen In & Verkoop', 'van nu naar beter', 'Van Nunen Design', 'Van Nunen Vastgoed B.V.', 'Van Nunen Holding B.V.', 'Van Nunen & Sierdsema', 'Van Nunen Keukens B.V.', 'Van Nunen Holding B.V.', 'Van Nunen Natuursteen B.V.', 'Van Nunen-Boes Tilburg B.V.', 'Van Nunen Mondzorg B.V.', 'van Nunen Deurenservice', 'Van Nunen-Boes Arnhem B.V.', 'Van Nunen Administraties', 'van Nunen Brand & Marketing', 'Van Nunen Interieurbouw', 'Van Nunen Onroerend Goed B.V.', 'Van Nunen Kantinebeheer B.V.', 'van Nunen Schilder Klussen', 'Van Nunen Groenvormgeving', 'van Nunen, Wanders & Arion C.V.', 'Van Nunen Asbestsanering', 'Van Nunen Interim-Management En Advies', 'Vannuni']"
65,Intertrans Logistics B.V.,Zevenbergen,                    Intertrans Logistics B.V.                ,8  werknemers,                            Actief sinds                             2008                        ,                                ZEVENBERGEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Intertrans Logistics B.V.']
66,"Neovia Logistics Services, LLC",Oosterhout,"                    Neovia Logistics Services, LLC                ",45  werknemers,                            Actief sinds                             1987                        ,                                OOSTERHOUT NB                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Neovia Logistics Services, LLC', 'Neovia Logistics Services, LLC', 'Neovia Logistics Services, LLC']"
67,Crane Worldwide Logistics,Tilburg,                    Crane Worldwide Logistics B.V.                ,25  werknemers,                            Actief sinds                             2009                        ,                                ROZENBURG NH                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ","['Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.', 'Crane Worldwide Logistics B.V.']"
68,Van der Werff Logistics Elshout,Elshout,                    Van der Werff Logistic Services B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2014                        ,                                HEERENVEEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['Van der Werff Logistic Services B.V.', 'Van der Werff Logistics Heerenveen B.V.', 'Van der Werff Logistics Zuid B.V.', 'Van der Werff, Logistics Consulting', 'van der Werff Logistieke Dienstverlening', 'Van der Werff', 'van der Werff B.V.', 'Van der Werff B.V.', 'Vanderwerff.eu', 'Van der Werf Flightcases', 'Van der Werf Finance', 'van der Werff reizen', 'Van der Werff Groep B.V.', 'Van der Werff Infra B.V.', 'Van der Werff Sport B.V.', 'Van der Werff Beheer B.V.', 'Van der Werff Beheer B.V.', 'Van der Werff Beheer B.V.', 'Van der Werff Verhuur B.V.', 'Van der Werff Services', 'vanderwerffadviezen', 'van der Werff Beheer B.V.', 'van der werf gww', 'van der Werff Holding B.V.', 'Van der Werff Zonwering', 'Van der Werff Holding B.V.', 'Van der Werff Holding B.V.', 'Van der Werff Zutphen B.V.', 'Van der Werff Holding B.V.', 'Van der Werff Vastgoed B.V.', 'Van der Werff Schrijftolk', 'van der Werff Klusservice', 'Van der Werf & Hoek B.V.', 'vanderWerf-events', 'Van der Werff Facilities B.V.', 'van der Werff waarnemend huisarts', 'Van der Werff Hospitality Services', 'van der Werff communicatieadvies', 'Van der Werff Watertechniek B.V.', 'Van der Werff behang-, wit- en schildersbedrijf', 'Van der Werff Dienstverlening', 'Van der Werff Behangwerken B.V.', 'Van der Werff Holding Enschede B.V.', 'Van der Werff-Groothandel & Dienstverlening', 'van der Werff Accountancy en Belastingadvies', 'Van der Werff Installatie B.V.', 'Van der Werff en de Haan Beheer B.V.', 'van der Werff Office Support', 'Van der Werff Installatiebeheer', 'Van der Werff Onroerend Goed B.V.']"
69,UniExpress,Best,                    UniExpress                ,10  werknemers,                            Actief sinds                             2011                        ,                                Inactief sinds                                 2020                            ,                                VELDHOVEN                            ,"['UniExpress', 'UniExpress B.V.', 'UniExpress Holding B.V.']"
70,Bouwman Logistics B.V.,Barendrecht,                    Bouwman Logistics B.V.                ,34  werknemers,                            Actief sinds                             2002                        ,                                BARENDRECHT                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['Bouwman Logistics B.V.']
71,Broekman Logistics Limburg B.V.,Alphen,                    Broekman Logistics Limburg B.V.                ,96  werknemers,                            Actief sinds                             1981                        ,                                ROTTERDAM                            ,"52109 - Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)                            ","['Broekman Logistics Limburg B.V.', 'Broekman Logistics Limburg B.V.', 'Broekman Logistics Limburg B.V.', 'Broekman Logistics Limburg B.V.']"
72,Louwman Logistics,Raamsdonksveer,                    Louwman Logistics B.V.                ,38  werknemers,                            Actief sinds                             2002                        ,                                RAAMSDONKSVEER                            ,"52109 - Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)                            ",['Louwman Logistics B.V.']
73,Transmeer,Belgium,                    TransMedics B.V.                ,Onbekend aantal  werknemers,                            Actief sinds                             2006                        ,                                'S-HERTOGENBOSCH                            ,46461 - Groothandel in farmaceutische producten                            ,"['TransMedics B.V.', 'Transmedia-design', 'TranSmit', 'TransMeds', 'Transmeeuw Holding B.V.', 'Transmea B.V.', 'TRANSMECCA', 'TransMission B.V.', 'Transmefo B.V.', 'Transmeto B.V.', 'Transmeubel', 'Transmer NL B.V.', 'Transmedia B.V.', 'Trans-Metrix B.V.', 'Transmediair B.V.', 'Transmare CirQlair B.V.', 'transmorph training', 'Transmetrics AD', 'Transmedia-design', 'Transmedia Europe', 'TransMission Weert B.V.', 'Transmedia.online', 'TransMind International B.V.', 'TransMission Almere B.V.', 'Transmet Holding B.V.', 'TransMeta Holding B.V.', 'TransXs', 'Trans MM', 'Transmark Subsea International B.V.', 'Transmit', 'TransQ', 'TRANSVOOR', 'Trans.AMM', 'TransApo', 'TransCon', 'TranScan', 'Transmitt revalidatie B.V.', 'Trans-Mar', 'TransLat', 'TransÜber', 'TransMatch Realty Advisors B.V.', 'Transmissieservice Richard van Dijk', 'TransLien', 'TransWerK', 'Transcape', 'Trans4M B.V.', 'Transmissions and Engineering Services Netherlands B.V.', 'Transmont', 'Trans4U B.V.', 'Transma B.V.']"
74,Jan de Rijk Benelux B.V.,Geldrop,                    Jan de Rijk Benelux B.V.                ,49  werknemers,                            Actief sinds                             1917                        ,                                Inactief sinds                                 2018                            ,                                ROOSENDAAL                            ,"['Jan de Rijk Benelux B.V.', 'Jan de Rijk Benelux B.V.', 'Jan de Rijk Benelux B.V.', 'Jan de Rijk Benelux B.V.']"
75,LB-Logistics,Veghel,                    LB-Logistics B.V.                ,18  werknemers,                            Actief sinds                             2007                        ,                                VEGHEL                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['LB-Logistics B.V.', 'VN Logistics B.V.', 'TM Logistics', 'BK Logistics B.V.', 'LR Logistics', 'JM Logistics', 'HE Logistics B.V.', 'JM Logistics B.V.', 'KDS Logistics B.V.', 'STL Logistics B.V.', 'CTR Logistics B.V.', 'TLS Logistics B.V.', 'REC-Logistics', 'TSC Logistics B.V.', 'DJK Logistics B.V.', 'G & C de Bot Logistics B.V.', 'ECW Logistics B.V.', 'KAH Logistics B.V.', 'LAP Logistics B.V.', 'TGV Logistics', 'Tru=St Logistics V.O.F.', 'MMR Logistics B.V.', 'DLZ Logistics', 'LMDV Logistics', 'RAFA Logistics B.V.', 'tele Logistics B.V.', 'ELS-Logistics B.V.', 'HAVI Logistics B.V.', 'MY Logistics B.V.', 'S & N LOGISTICS B.V.', 'NOVER Logistics B.V.', 'HR Logistics', 'MF Logistics B.V.', 'VL Logistics B.V.', 'BD&G Logistics B.V.', 'AJ Logistics B.V.', 'JH Logistics B.V.', 'JH Logistics', 'QD Logistics B.V.', 'M@DE LOGISTICS B.V.', 'VF-Logistics B.V.', 'GS Logistics B.V.', 'OZ-Logistics', 'SZ Logistics B.V.', 'Atlantis Logistics B.V.', 'HK Logistics B.V.', 'SB Logistics', 'ED Logistics B.V.', 'M&D Logistics B.V.', '3V Logistics B.V.']"
76,Soetens Warehousing & Logistics,Goirle,                    Soetenso                ,2  werknemers,                            Actief sinds                             2010                        ,                                LEIDEN                            ,1071 - Vervaardiging van brood en vers banketbakkerswerk                            ,"['Soetenso', 'Soetens advies en consultancy (SAC)', 'Soetens Zorg', 'SOETEMAN', 'Soeten', 'Soetens Verhuur', 'Soetens Finance', 'Soetens Vloeren', 'SoetensExpress', 'Soeten', 'Soetens Beheer B.V.', 'Soetens Services', 'Soetendaal Grondwerken', 'Soetens Holding B.V.', 'Soetendaal Montage & Verhuur', 'Soetendaal Bestrating en Grondverzet', 'Soetens Advocatuur', ""Soetens Auto's"", 'Soetens Bouwbedrijf', 'Soetens Exploitatie B.V.', 'Soetens Timmerwerken', 'Soeterboek GGZ', 'Soet en Toet', 'Soetens Exploitatie B.V.', 'Soetenlant B.V.', 'Soetens Makelaars', 'Soetendael B.V.', 'Soetensteeg 2-61 Beheer B.V.', 'Soetendaal B.V.', 'Soetendaal C.V.', 'Soetens Horeca Exploitatie', 'Soeten Beheer B.V.', 'Soetens Internationale Transporten B.V.', 'Soetens Consultancy & Testmanagement', 'Soetens Vastgoed Management', 'Soetensteeg 2-61 Exploitatiemaatschappij B.V.', 'Soetendaal Bouw', 'Soeterwold Holding B.V.', 'SOET', 'Soetens & De Vocht advocaten', 'Soeterwold Vastgoed B.V.', 'Soeters IT Consultancy', 'Soetens & De Vocht Advocaten B.V.', 'Soeten Sales & Marketing', 'Soetendaal dak&wand', 'Soetendaal Schuren', 'Soetendaal Beheer B.V.', 'Soetendaal Support', 'Soeters', 'Soeters Car Electronics']"
77,SMK Logistics B.V.,Eindhoven,                    SMK Logistics B.V.                ,26  werknemers,                            Actief sinds                             2015                        ,                                EINDHOVEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['SMK Logistics B.V.', 'SMK Logistics I B.V.', 'SMK Logistics Group B.V.']"
78,ATL Logistics BV,Lijnden,                    ATL Logistics B.V.                ,8  werknemers,                            Actief sinds                             2011                        ,                                LIJNDEN                            ,5121 - Goederenvervoer door de lucht                            ,"['ATL Logistics B.V.', 'Atlantis Logistics B.V.', 'Atlantic Logistics B.V.', 'AT Logistics B.V.', 'Logwise Amsterdam B.V.', 'GWHS Groep B.V.', 'Broekman Logistics Limburg B.V.']"
79,Kusters Logistics,Eindhoven,                    Kusters Logistics Swolgen                ,1  werknemers,                            Actief sinds                             2012                        ,                                Inactief sinds                                 2013                            ,                                SWOLGEN                            ,"['Kusters Logistics Swolgen', 'Kusters Logistics B.V.', 'Kusters Industriedeuren VOF']"
80,Tracco Logistics Company B.V.,Rotterdam,                    Tracco Logistics Company B.V.                ,8  werknemers,                            Actief sinds                             1998                        ,                                ROTTERDAM                            ,"52291 - Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer                            ",['Tracco Logistics Company B.V.']
81,BVW Logistics B.V.,Vianen,                    BVW Logistics B.V.                ,8  werknemers,                            Actief sinds                             2016                        ,                                VIANEN UT                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,['BVW Logistics B.V.']
82,HE-Logistics BV Transport and logistics,Rotterdam,                    VDH Logistics & Transport B.V.                ,19  werknemers,                            Actief sinds                             2012                        ,                                ZEVENBERGEN                            ,4941 - Goederenvervoer over de weg (geen verhuizingen)                            ,"['VDH Logistics & Transport B.V.', 'ARCO Transport & Logistics B.V.', 'NTUR Transport & Logistics B.V.', 'GVT Transport & Logistics B.V.', 'ChanCe Transport & Logistics B.V.', 'Bruins Transport and Logistics Development B.V.', 'Kenneh Transport & Logistics B.V.', 'HJV Trading, Transport & Logistics B.V.', 'ATL Logistics B.V.', 'GVT Transport & Logistics Apeldoorn B.V.', 'GVT Transport & Logistics Alkmaar B.V.', 'MDS Logistics and Car Transport B.V.', 'ATC Computer Transport and Logistics B.V.', 'M4 Transport & Logistics B.V.', 'Beijer Transport & Logistics B.V.', 'LYNX Transports and Logistics International B.V.', 'MC Transport & Logistics B.V.', 'TD Transport & Logistics B.V.', 'Transport & Logistics U.K. B.V.', 'A9 transport & logistics B.V.', 'B.T. Transport & Logistics B.V.', 'RY Transport & Logistics B.V.', 'Evers Transport & Logistics B.V.', 'GVT Transport & Logistics Beheer B.V.', 'Zevenbergen Logistics B.V.', 'Red Transport & Logistics B.V.', 'TSP Transport & Logistics B.V.', 'VDV TRANSPORT & LOGISTICS B.V.', 'ABS Transport & Logistics B.V.', 'Sola Logistics & Transport B.V.', 'Manders Transport & Logistics B.V.', 'Zero Transport & Logistics B.V.', 'Compass Transport & Logistics B.V.', 'S.K.O. Transport & Logistics B.V.', 'Hass Transport & Logistics B.V.', 'Hero Transport & Logistics B.V.', 'Dany Transport & Logistics B.V.', 'X-Max Transport & Logistics B.V.', 'Sanders Transport & Logistics B.V.', 'Ultra Transport & Logistics B.V.', 'Dutch Transport & Logistics B.V.', 'BENYA Transport & Logistics B.V.', 'Sola-EMM Logistics & Transport B.V.', 'Berry Logistics & Transport B.V.', 'Regio Transport & Logistics B.V.', 'Wetron Transport & Logistics B.V.', 'Kennis Transport & Logistics B.V.', 'Orange Transport & Logistics B.V.', 'Simply Logistics & Transport B.V.', 'Tijsen Transport & Logistics B.V.']"
