,Unnamed: 0.1,Unnamed: 0,name,type_company,lat,lon,city,avg_stars_num,n_reviews_num,encoded_user,local_guide,clean_other_review_num,published_date,today_date,stars_num,review_EN,original_lang,Negative,Neutral,Positive,Roberta_Sentiment
496,496,581,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,cG35u,1,254,2019-09-27 21:32:38,2022-09-29,4," great company

",NOT_ENG,0.7559273391962051,8.091717213392258,91.15236401557922,Positive
497,497,582,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,4T!Fg,1,25,2018-09-27 21:32:38,2022-09-29,1," Traaaaaaaaggggggghhhhhh

",NOT_ENG,52.5302529335022,39.00143802165985,8.468306809663773,Negative
498,498,785,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,&5hYp,1,9,2022-07-28 21:32:38,2022-09-23,5,The have wc and shower for drivers wich is not the same case in other locations.,ENG,20.17062157392502,75.01617670059204,4.813210293650627,Neutral
499,499,336,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,x0N%),1,51,2021-09-27 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
500,500,337,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,)!CFR,1,49,2021-09-27 21:32:38,2022-09-23,3,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
501,501,786,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,#dMcP,1,54,2022-05-28 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
506,506,1436,Newcorp Logistics B.V.,Trucking company,51.8137504,4.5272538,Heinenoord,4.1,143,7NlUX,1,270,2021-12-26 21:32:38,2022-09-25,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
508,508,2185,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,tei&4,1,351,2021-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
510,510,3053,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,Spt0),1,67,2022-06-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
511,511,3056,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,yTzmi,1,21,2019-09-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
513,513,4239,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,g3JmR,1,303,2018-09-27 21:32:38,2022-09-24,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
514,514,4671,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,e6oPE,0,89,2020-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
516,516,6499,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,jJaD),0,3,2019-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
522,522,477,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,sCqct,1,38,2022-09-25 21:32:38,2022-09-29,5,Super,ENG,6.16171695291996,39.26650583744049,54.57177758216858,Positive
523,523,787,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,Hc^^4,1,23,2022-05-28 21:32:38,2022-09-23,5,Super,ENG,6.16171695291996,39.26650583744049,54.57177758216858,Positive
527,527,3814,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,HVIv0,1,20,2021-09-27 21:32:38,2022-09-29,5,Super,ENG,6.16171695291996,39.26650583744049,54.57177758216858,Positive
528,528,3816,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,wtagr,0,18,2021-09-27 21:32:38,2022-09-29,1,Super,ENG,6.16171695291996,39.26650583744049,54.57177758216858,Positive
533,533,788,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,DHNI),1,147,2020-09-27 21:32:38,2022-09-23,3,Quite good..hard work!,ENG,0.5316457711160183,4.085022956132889,95.38332223892212,Positive
534,534,789,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,$(S)Q,0,4,2021-09-27 21:32:38,2022-09-23,5,Nice!,ENG,0.7549626752734184,8.052698522806168,91.1923348903656,Positive
535,535,790,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,jGY1B,0,6,2018-09-27 21:32:38,2022-09-23,5,I'm work here!!,ENG,2.33700443059206,44.34545934200287,53.31753492355347,Positive
536,536,791,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,6kb#S,0,152,2021-09-27 21:32:38,2022-09-23,4,Ok.,ENG,16.48976653814316,52.47964262962341,31.03058934211731,Neutral
537,537,3055,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,QfY)K,1,13,2019-09-27 21:32:38,2022-09-24,5,Ok.,ENG,16.48976653814316,52.47964262962341,31.03058934211731,Neutral
538,538,792,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,%j*ns,1,2,2017-09-27 21:32:38,2022-09-23,4,Mac clean,ENG,11.09611317515373,56.77582025527954,32.12806582450867,Neutral
539,539,793,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,S7we2,1,345,2022-09-20 21:32:38,2022-09-23,1," Well, they had to pick up a small package. Unfortunately, their understanding of times is not in order. We come between 9am and 5pm. This is very unprofessional. Too spacious too vague , not exactly for a logistics company .

",NOT_ENG,94.55400705337524,4.975049942731857,0.4709388129413128,Negative
540,540,794,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,SkKlb,0,1180,2022-07-28 21:32:38,2022-09-23,4," Quick unloading and a toilet for the driver. To complete happiness, the only thing missing is a coffee machine.

",NOT_ENG,9.660807251930237,33.01676213741302,57.32242465019226,Positive
541,541,795,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,1qg%&,1,64,2022-07-28 21:32:38,2022-09-23,5," Fast loading is the toilet and shower hot water

",NOT_ENG,32.57327973842621,60.8595073223114,6.567215919494629,Neutral
542,542,796,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,PgHb3,0,7,2022-02-25 21:32:38,2022-09-23,5," Pleasant, cultured and polite staff. Parking, toilet - nice and clean. A great example for other firms. Thanks for the positive leadership!

",NOT_ENG,0.1701930887065828,1.332535594701767,98.49727749824524,Positive
543,543,797,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,dXpLL,0,4,2021-11-25 21:32:38,2022-09-23,4," Had a job interview. Already a very good and welcome feeling.
No solution yet, so don't know what it's like to work there. But until now; great experience!

",NOT_ENG,0.6037904880940914,2.256347984075546,97.13985323905945,Positive
544,544,798,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,$5hkp,0,2,2021-12-26 21:32:38,2022-09-23,5," A whole car loaded in 20 minutes, other companies can follow an example.

",NOT_ENG,3.599570691585541,53.06787490844727,43.33254992961884,Neutral
545,545,799,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,mlAKn,0,51,2022-05-28 21:32:38,2022-09-23,5," Loaded quickly, everything is fine!

",NOT_ENG,0.5054754205048084,10.03042012453079,89.4641101360321,Positive
546,546,800,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,SVkAf,1,113,2022-07-28 21:32:38,2022-09-23,4," Hardworking people in a great location

",NOT_ENG,0.576837407425046,7.365576177835464,92.05759763717651,Positive
547,547,801,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,%8n5O,1,71,2021-09-27 21:32:38,2022-09-23,5," In any case, a nice address for loading or unloading ... Unlike most other large companies, you are usually quickly loaded / unloaded here ... Top company!

",NOT_ENG,0.800576526671648,7.705068588256836,91.4943516254425,Positive
548,548,802,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,mPjxV,0,4,2020-09-27 21:32:38,2022-09-23,1," Worthless on maps is open 24 hours, loading and unloading is between 09:00 and 18:00

",NOT_ENG,5.899527296423912,83.68880152702332,10.41167601943016,Neutral
549,549,803,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,C(7Tn,1,86,2022-05-28 21:32:38,2022-09-23,5," Fast service

",NOT_ENG,2.958379313349724,45.390784740448,51.65084004402161,Positive
551,551,804,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,ia0#S,1,15,2021-09-27 21:32:38,2022-09-23,3," For 5 pallets to unload I waited 1:30

",NOT_ENG,46.05082869529724,51.29454135894775,2.654636465013027,Neutral
552,552,805,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,H1lc@,0,178,2021-11-25 21:32:38,2022-09-23,5," Had a very good conversation

",NOT_ENG,0.186448753811419,1.945600658655167,97.86796569824219,Positive
553,553,806,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,8Ge2s,1,119,2020-09-27 21:32:38,2022-09-23,5," Cool. Free and clean shower and toilet for drivers.

",NOT_ENG,0.4195745568722486,8.107846230268478,91.47258996963501,Positive
554,554,807,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,Xpy9Y,0,166,2021-09-27 21:32:38,2022-09-23,4," Friendly people and smooth handling of goods

",NOT_ENG,0.5483661312609911,18.4639111161232,80.98771572113037,Positive
555,555,808,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,gk*3Z,1,507,2021-09-27 21:32:38,2022-09-23,5," I recommend very fast loading 👍👍👍👍

",NOT_ENG,0.3226595697924495,6.910897046327591,92.76645183563232,Positive
556,556,809,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,%sNY*,1,1740,2020-09-27 21:32:38,2022-09-23,4," Fast charge
Shower
coffee
Parking

",NOT_ENG,4.297793284058571,77.1212637424469,18.58094185590744,Neutral
557,557,810,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,LxV1e,1,38,2018-09-27 21:32:38,2022-09-23,4," Nice people, however, take a long time to charge.

",NOT_ENG,33.37768912315369,48.43752980232239,18.18477362394333,Neutral
558,558,811,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,a575%,1,137,2021-09-27 21:32:38,2022-09-23,5," Fast handling, correct company👌👌👌👌👌

",NOT_ENG,0.6195276044309139,11.72918453812599,87.65130043029785,Positive
559,559,812,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,yu7CU,0,117,2021-09-27 21:32:38,2022-09-23,5," Fast and pleasant

",NOT_ENG,0.816050823777914,24.75565522909164,74.42828416824341,Positive
560,560,813,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,mHpmW,0,16,2021-09-27 21:32:38,2022-09-23,5," Great, simple, toilet, shower

",NOT_ENG,1.492223795503378,18.23079437017441,80.27697801589966,Positive
561,561,814,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,WR3k5,1,26,2021-11-25 21:32:38,2022-09-23,5," Top company

",NOT_ENG,2.604871988296509,35.37892997264862,62.01618909835815,Positive
566,566,815,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,&1Y&I,1,64,2021-09-27 21:32:38,2022-09-23,5," Always fast

",NOT_ENG,5.948172882199287,63.15295696258545,30.89887499809265,Neutral
567,567,816,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,lIEj2,0,2,2021-10-28 21:32:38,2022-09-23,5," Service top quality !!!

",NOT_ENG,3.254528716206551,19.04502660036087,77.70043015480042,Positive
568,568,817,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,VR$Vj,1,63,2018-09-27 21:32:38,2022-09-23,5," Haytech company!

",NOT_ENG,1.462509296834469,57.91964530944824,40.61784148216248,Neutral
569,569,818,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,!P02L,1,923,2020-09-27 21:32:38,2022-09-23,5," Pro logistics company

",NOT_ENG,9.357093274593353,81.12455010414124,9.51836109161377,Neutral
570,570,819,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,3VgNB,1,46,2018-09-27 21:32:38,2022-09-23,5," Good company logistics

",NOT_ENG,1.33614195510745,22.63077944517136,76.03307962417603,Positive
578,578,3812,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,2SVtX,1,474,2018-09-27 21:32:38,2022-09-29,5,As a trucker I don't comment I only rate based on my personal experience.,ENG,12.75375038385391,81.05521202087402,6.19102381169796,Neutral
582,582,336,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,x0N%),1,51,2021-09-27 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
583,583,337,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,)!CFR,1,49,2021-09-27 21:32:38,2022-09-23,3,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
584,584,786,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,#dMcP,1,54,2022-05-28 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
589,589,1436,Newcorp Logistics B.V.,Trucking company,51.8137504,4.5272538,Heinenoord,4.1,143,7NlUX,1,270,2021-12-26 21:32:38,2022-09-25,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
591,591,2185,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,tei&4,1,351,2021-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
593,593,3053,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,Spt0),1,67,2022-06-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
594,594,3056,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,yTzmi,1,21,2019-09-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
596,596,4239,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,g3JmR,1,303,2018-09-27 21:32:38,2022-09-24,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
597,597,4671,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,e6oPE,0,89,2020-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
599,599,6499,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,jJaD),0,3,2019-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
606,606,336,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,x0N%),1,51,2021-09-27 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
607,607,337,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,)!CFR,1,49,2021-09-27 21:32:38,2022-09-23,3,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
608,608,786,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,#dMcP,1,54,2022-05-28 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
613,613,1436,Newcorp Logistics B.V.,Trucking company,51.8137504,4.5272538,Heinenoord,4.1,143,7NlUX,1,270,2021-12-26 21:32:38,2022-09-25,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
615,615,2185,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,tei&4,1,351,2021-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
617,617,3053,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,Spt0),1,67,2022-06-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
618,618,3056,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,yTzmi,1,21,2019-09-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
620,620,4239,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,g3JmR,1,303,2018-09-27 21:32:38,2022-09-24,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
621,621,4671,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,e6oPE,0,89,2020-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
623,623,6499,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,jJaD),0,3,2019-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
628,628,336,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,x0N%),1,51,2021-09-27 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
629,629,337,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,)!CFR,1,49,2021-09-27 21:32:38,2022-09-23,3,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
630,630,786,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,#dMcP,1,54,2022-05-28 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
635,635,1436,Newcorp Logistics B.V.,Trucking company,51.8137504,4.5272538,Heinenoord,4.1,143,7NlUX,1,270,2021-12-26 21:32:38,2022-09-25,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
637,637,2185,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,tei&4,1,351,2021-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
639,639,3053,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,Spt0),1,67,2022-06-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
640,640,3056,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,yTzmi,1,21,2019-09-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
642,642,4239,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,g3JmR,1,303,2018-09-27 21:32:38,2022-09-24,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
643,643,4671,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,e6oPE,0,89,2020-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
645,645,6499,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,jJaD),0,3,2019-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
650,650,471,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,Cu%ZM,1,30,2021-09-27 21:32:38,2022-09-29,4,Good,ENG,6.079348176717758,32.942795753479,60.97785830497742,Positive
652,652,1765,First Logistics B.V.,Trucking company,52.0487197,5.1148267,Nieuwegein,4.1,431,ry^hH,0,1,2022-09-20 21:32:38,2022-09-30,5,Good,ENG,6.079348176717758,32.942795753479,60.97785830497742,Positive
653,653,1766,First Logistics B.V.,Trucking company,52.0487197,5.1148267,Nieuwegein,4.1,431,esN$K,0,1,2022-08-27 21:32:38,2022-09-30,5,Good,ENG,6.079348176717758,32.942795753479,60.97785830497742,Positive
655,655,4880,Vortex Logistics,Logistics service,51.8471642,5.8087494,Nijmegen,4.3,42,zbKNz,1,44,2020-09-27 21:32:38,2022-09-24,5,Good,ENG,6.079348176717758,32.942795753479,60.97785830497742,Positive
658,658,7459,Otentic Logistics B.V.,Storage facility,51.663253,4.838108,Oosterhout,4.2,80,VpxhT,0,26,2020-09-27 21:32:38,2022-09-23,5,Good,ENG,6.079348176717758,32.942795753479,60.97785830497742,Positive
726,726,3074,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,90gdy,1,29,2018-09-27 21:32:38,2022-09-24,5," Nice company

",NOT_ENG,1.318974979221821,13.68462741374969,84.99638438224792,Positive
727,727,3075,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,BX4Ul,0,1,2015-09-27 21:32:38,2022-09-24,5," Nice company

",NOT_ENG,1.318974979221821,13.68462741374969,84.99638438224792,Positive
728,728,3934,Claassen Logistics,Trucking company,51.6045107,4.9893228,Tilburg,4.3,351,9nySG,1,644,2019-09-27 21:32:38,2022-09-29,5," Nice company

",NOT_ENG,1.318974979221821,13.68462741374969,84.99638438224792,Positive
729,729,4697,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,Rv09I,0,2,2018-09-27 21:32:38,2022-09-25,5," Nice company

",NOT_ENG,1.318974979221821,13.68462741374969,84.99638438224792,Positive
730,730,5051,Rhenus Contract Logistics Eindhoven B.V.,Logistics service,51.5031394,5.4775819,Son,4.2,59,Kj$ye,0,82,2020-09-27 21:32:38,2022-09-24,4," Nice company

",NOT_ENG,1.318974979221821,13.68462741374969,84.99638438224792,Positive
731,731,5764,Speedliner Logistics BV,Logistics service,51.5919545,5.0236385,Tilburg,3.8,55,P62Z@,0,9,2022-06-27 21:32:38,2022-09-24,5," Nice company

",NOT_ENG,1.318974979221821,13.68462741374969,84.99638438224792,Positive
745,745,553,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,kMaOs,1,25,2021-11-25 21:32:38,2022-09-29,5," Fast

",NOT_ENG,15.31049460172653,59.79956388473511,24.88994151353836,Neutral
746,746,573,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,(w0eR,1,36,2019-09-27 21:32:38,2022-09-29,5," Fast

",NOT_ENG,15.31049460172653,59.79956388473511,24.88994151353836,Neutral
773,773,577,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,Hlqfm,1,81,2017-09-27 21:32:38,2022-09-29,5," Good business

",NOT_ENG,3.714387863874435,42.08738505840302,54.19822931289673,Positive
775,775,2950,Van Spreuwel Transport,Trucking company,51.4752558,5.4186058,Eindhoven,2.8,384,ffCgK,1,26,2021-09-27 21:32:38,2022-09-30,4," Good business

",NOT_ENG,3.714387863874435,42.08738505840302,54.19822931289673,Positive
778,778,4696,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,t2Hoj,1,183,2019-09-27 21:32:38,2022-09-25,5," Good business

",NOT_ENG,3.714387863874435,42.08738505840302,54.19822931289673,Positive
779,779,6542,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,Irx2x,1,199,2021-09-27 21:32:38,2022-09-25,3," Good business

",NOT_ENG,3.714387863874435,42.08738505840302,54.19822931289673,Positive
807,807,336,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,x0N%),1,51,2021-09-27 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
808,808,337,Transport J.A. van Wanrooy BV,Logistics service,51.6663532,4.8335316,Oosterhout,4.4,114,)!CFR,1,49,2021-09-27 21:32:38,2022-09-23,3,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
809,809,786,Base Logistics BV,Freight forwarding service,51.6572303,4.5604686,Klundert,4.4,112,#dMcP,1,54,2022-05-28 21:32:38,2022-09-23,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
814,814,1436,Newcorp Logistics B.V.,Trucking company,51.8137504,4.5272538,Heinenoord,4.1,143,7NlUX,1,270,2021-12-26 21:32:38,2022-09-25,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
816,816,2185,VDH Cool Logistics BV,Logistics service,51.5031025,4.7521207,Breda,3.9,152,tei&4,1,351,2021-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
818,818,3053,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,Spt0),1,67,2022-06-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
819,819,3056,Schavemaker Transport Breda B.V.,Trucking company,51.4985522,4.7465313,Breda,4.3,74,yTzmi,1,21,2019-09-27 21:32:38,2022-09-24,5,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
821,821,4239,Nord Cargo BV,Trucking company,51.6637126,4.5599563,Klundert,4.8,69,g3JmR,1,303,2018-09-27 21:32:38,2022-09-24,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
822,822,4671,Hartog Logistics B.V.,Trucking company,51.6747728,4.6827396,Hoek,3.9,90,e6oPE,0,89,2020-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
824,824,6499,De Graaf Logistics BV,Distribution service,51.6708682,4.8366427,Oosterhout,3.8,168,jJaD),0,3,2019-09-27 21:32:38,2022-09-25,4,Ok,ENG,17.72945523262024,52.64875292778015,29.62177395820618,Neutral
829,829,476,GVT Transport & Logistics Tilburg,Logistics,51.599276,5.013881,Tilburg,4.0,321,11U0q,1,755,2019-09-27 21:32:38,2022-09-29,5,Top,ENG,8.725270628929138,59.70318913459778,31.57154321670532,Neutral
831,831,1770,First Logistics B.V.,Trucking company,52.0487197,5.1148267,Nieuwegein,4.1,431,(zQbT,1,20,2022-02-25 21:32:38,2022-09-30,5,Top,ENG,8.725270628929138,59.70318913459778,31.57154321670532,Neutral
832,832,1772,First Logistics B.V.,Trucking company,52.0487197,5.1148267,Nieuwegein,4.1,431,fWpSs,1,7,2021-09-27 21:32:38,2022-09-30,5,Top,ENG,8.725270628929138,59.70318913459778,31.57154321670532,Neutral
